source_id,dataset_id,dataset_version,table_id,indicator_id,indicator_label,period,denominator_id,denominator,business_size,source_business_size_label,scope_role,estimate,lower_limit,upper_limit,sample_base,source_status
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,summarise_or_draft,Summarising or drafting,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,micro,Size: Micro (up to 9 employees),primary,0.1949329889815103,0.1778856607633297,0.2119803171996909,2500,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,summarise_or_draft,Summarising or drafting,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,small,Size: Small (10 to 49 employees),primary,0.3120521066743952,0.2738612952558461,0.3502429180929443,680,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,summarise_or_draft,Summarising or drafting,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,medium,Size: Medium (50 to 249 employees),primary,0.3840845506300588,0.3139925996440777,0.45417650161604,220,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,summarise_or_draft,Summarising or drafting,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,large,Size: Large (250 plus employees),reference_benchmark,0.4984385248121115,0.4075842454369736,0.5892928041872495,130,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,research_information,Research,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,micro,Size: Micro (up to 9 employees),primary,0.2585938793557046,0.2397515391666998,0.2774362195447095,2500,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,research_information,Research,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,small,Size: Small (10 to 49 employees),primary,0.3595885298268149,0.3200336545285148,0.399143405125115,680,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,research_information,Research,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,medium,Size: Medium (50 to 249 employees),primary,0.3853439066622635,0.3152089514398916,0.4554788618846354,220,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,research_information,Research,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,large,Size: Large (250 plus employees),reference_benchmark,0.5371158740951567,0.4465118182370603,0.6277199299532531,130,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,draft_computer_code,Computer code,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,micro,Size: Micro (up to 9 employees),primary,0.05977183283458274,0.0495703676517885,0.06997329801737699,2500,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,draft_computer_code,Computer code,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,small,Size: Small (10 to 49 employees),primary,0.0598473039909923,0.04029540039889004,0.07939920758309456,680,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,draft_computer_code,Computer code,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,medium,Size: Medium (50 to 249 employees),primary,0.0830036091385354,0.04324543039191226,0.1227617878851585,220,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,draft_computer_code,Computer code,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,large,Size: Large (250 plus employees),reference_benchmark,0.1980486073085463,0.1256321256496465,0.2704650889674461,130,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,analyse_data_or_models,Data analysis or models,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,micro,Size: Micro (up to 9 employees),primary,0.07750458399517673,0.06599807875819631,0.08901108923215716,2500,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,analyse_data_or_models,Data analysis or models,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,small,Size: Small (10 to 49 employees),primary,0.1248669786436093,0.09761937011381695,0.1521145871734016,680,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,analyse_data_or_models,Data analysis or models,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,medium,Size: Medium (50 to 249 employees),primary,0.1507734412267056,0.09920685423832523,0.2023400282150859,220,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,analyse_data_or_models,Data analysis or models,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,large,Size: Large (250 plus employees),reference_benchmark,0.3047749851073176,0.2211319360374185,0.3884180341772167,130,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,customer_service_chatbots,Customer chatbots,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,micro,Size: Micro (up to 9 employees),primary,0.03916476561997483,0.03081700738850826,0.04751252385144139,2500,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,customer_service_chatbots,Customer chatbots,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,small,Size: Small (10 to 49 employees),primary,0.0631768871913187,0.04312406679442794,0.08322970758820945,680,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,customer_service_chatbots,Customer chatbots,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,medium,Size: Medium (50 to 249 employees),primary,0.07167771285990132,0.03450402580679611,0.1088513999130065,220,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,customer_service_chatbots,Customer chatbots,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,large,Size: Large (250 plus employees),reference_benchmark,0.2014859587577998,0.128600452740173,0.2743714647754267,130,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,generate_images_or_videos,Images or videos,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,micro,Size: Micro (up to 9 employees),primary,0.128610911426764,0.1142049382100095,0.1430168846435185,2500,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,generate_images_or_videos,Images or videos,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,small,Size: Small (10 to 49 employees),primary,0.163249584205588,0.1327852589138236,0.1937139094973524,680,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,generate_images_or_videos,Images or videos,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,medium,Size: Medium (50 to 249 employees),primary,0.1969787917243901,0.1396639070782452,0.2542936763705349,220,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,generate_images_or_videos,Images or videos,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,large,Size: Large (250 plus employees),reference_benchmark,0.2587535877825849,0.1791739434483082,0.3383332321168616,130,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,cybersecurity_protection,Cybersecurity,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,micro,Size: Micro (up to 9 employees),primary,0.04382698321634164,0.03501777922447476,0.05263618720820852,2500,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,cybersecurity_protection,Cybersecurity,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,small,Size: Small (10 to 49 employees),primary,0.04994028953609137,0.03198598727507145,0.0678945917971113,680,observed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,42,cybersecurity_protection,Cybersecurity,2025-10-10/2026-01-28,all_uk_businesses,All UK businesses within each published business-size category,medium,Size: Medium (50 to 249 employees),primary,0.08674325268331455,0.04618226920263967,0.1273042361639894,220,observed
